Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Undergraduate,Female,Economics,Foreign (International) student,Full-time,Online,No,Convenience of location,Flexibility in schedule,5,Lack of interaction with peers,Very often,Satisfied,No,Better interaction with instructors,Satisfied,Excellent,Agree,Online,Offline
Graduate,Female,Arts,Domestic student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Offline,Online
Undergraduate,Female,Economics,Domestic student,Part-time,Online,Yes,Quality of education,Cost,4,Doubts remain unclear,Sometimes,Neutral,Yes,Better interaction with instructors,Satisfied,Good,Agree,Online,Offline
Undergraduate,Female,Arts,Foreign (International) student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Flexibility in schedule,3,Lack of interaction with peers,Very often,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Offline,Online
High School,Female,Business,Domestic student,Part-time,Online,Yes,Convenience of location,Flexibility in schedule,5,Difficulty staying motivated,Sometimes,Satisfied,Yes,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Prefer not to say,Business,Domestic student,Full-time,Offline (In-person),Yes,Interaction with peers/instructors,Cost,4,Lack of interaction with peers,Sometimes,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
High School,Male,Medical,Domestic student,Full-time,Online,No,Flexibility in schedule,"Flexibility in schedule, Availability of courses",4,"Lack of interaction with peers, Technical difficulties, Lack of access to course materials",Very often,Very satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Arts,Foreign (International) student,Part-time,Online,Yes,Convenience of location,Cost,4,Technical difficulties,Very often,Very satisfied,Yes,Easier to focus,Satisfied,Excellent,Strongly agree,Online,Offline
Graduate,Female,Arts,Domestic student,Full-time,Offline (In-person),Yes,Convenience of location,"Convenience of location, Face-to-face interaction with instructors and peers",4,Poor internet connection,Sometimes,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Male,Business,Foreign (International) student,Full-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,5,Poor internet connection,Sometimes,Satisfied,Yes,"More engaging learning environment, Doubt clarity",Satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Male,Arts,Domestic student,Full-time,Offline (In-person),Yes,Cost,"Convenience of location, Face-to-face interaction with instructors and peers",5,"Poor internet connection, Technical difficulties",Very often,Neutral,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Prefer not to say,Business,Foreign (International) student,Part-time,Online,No,"Cost, Interaction with peers/instructors","Face-to-face interaction with instructors and peers, Availability of courses",5,Lack of interaction with peers,Very often,Satisfied,No,"Easier to focus, More structured schedule",Very satisfied,Excellent,Agree,Online,Online
High School,Female,Arts,Domestic student,Part-time,Online,Yes,Flexibility in schedule,"Convenience of location, Availability of courses",4,Difficulty staying motivated,Very often,Very satisfied,Yes,Easier to focus,Satisfied,Excellent,Strongly agree,Offline,Online
Graduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),No,"Quality of education, Interaction with peers/instructors","Convenience of location, ",3,"Difficulty staying motivated, Technical difficulties",Rarely,Unsatisfied,Yes,Better interaction with instructors,Satisfied,Good,Neutral,Offline,Online
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),No,Availability of courses,Convenience of location,4,Difficulty staying motivated,Never,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Poor,Neutral,Online,Online
Undergraduate,Female,Arts,Domestic student,Part-time,Online,Yes,Cost,Flexibility in schedule,4,Lack of interaction with peers,Sometimes,Very satisfied,Yes,More engaging learning environment,Very satisfied,Good,Strongly agree,Online,Offline
High School,Female,Engineering,Domestic student,Part-time,Online,No,"Flexibility in schedule, Quality of education",Cost,5,"Difficulty staying motivated, Lack of access to course materials",Sometimes,Neutral,Yes,Easier to focus,Very satisfied,Poor,Disagree,Offline,Offline
Undergraduate,Prefer not to say,Science,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,3,Difficulty staying motivated,Rarely,Neutral,No,Easier to focus,Very satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Interaction with peers/instructors,Quality of education,3,Difficulty staying motivated,Rarely,Neutral,Yes,Easier to focus,Very satisfied,Excellent,Agree,Offline,Offline
High School,Female,Medical,Domestic student,Full-time,Offline (In-person),Yes,"Convenience of location, Availability of courses",Flexibility in schedule,4,"Poor internet connection, Lack of access to course materials",Very often,Satisfied,Yes,"Easier to focus, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Agree,Online,Offline
Undergraduate,Female,Economics,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Quality of education,3,Difficulty staying motivated,Rarely,Unsatisfied,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Poor,Neutral,Offline,Offline
Undergraduate,Female,Business,Foreign (International) student,Full-time,Offline (In-person),No,Flexibility in schedule,Flexibility in schedule,3,Difficulty staying motivated,Sometimes,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Strongly agree,Online,Online
Undergraduate,Female,Arts,Domestic student,Full-time,Offline (In-person),Yes,"Convenience of location, Interaction with peers/instructors","Flexibility in schedule, Face-to-face interaction with instructors and peers",4,Lack of interaction with peers,Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Strongly agree,Online,Online
High School,Female,Economics,Domestic student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Convenience of location,2,Technical difficulties,Sometimes,Neutral,No,More engaging learning environment,Neutral,Average,Neutral,Offline,Offline
Undergraduate,Female,Engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Flexibility in schedule,3,Technical difficulties,Sometimes,Neutral,No,"More engaging learning environment, Doubt clarity",Neutral,Good,Strongly agree,Online,Online
Undergraduate,Male,Business,Domestic student,Full-time,Offline (In-person),Yes,"Cost, Interaction with peers/instructors","Flexibility in schedule, Face-to-face interaction with instructors and peers",5,"Lack of interaction with peers, Doubts remain unclear",Very often,Satisfied,Yes,"Easier to focus, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Offline,Online
High School,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),No,Availability of courses,Face-to-face interaction with instructors and peers,3,Difficulty staying motivated,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Good,Strongly agree,Online,Online
Graduate,Male,Medical,Foreign (International) student,Full-time,Offline (In-person),No,"Flexibility in schedule, Cost, Interaction with peers/instructors",Face-to-face interaction with instructors and peers,5,Technical difficulties,Sometimes,Neutral,Yes,"More engaging learning environment, More structured schedule",Satisfied,Average,Agree,Offline,Offline
High School,Female,Business,Domestic student,Full-time,Offline (In-person),No,"Flexibility in schedule, Availability of courses","Convenience of location, Face-to-face interaction with instructors and peers",4,Lack of access to course materials,Sometimes,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Neutral,Poor,Strongly agree,Offline,Online
Undergraduate,Female,Medical,Foreign (International) student,Part-time,Offline (In-person),Yes,Availability of courses,Quality of education,4,Lack of access to course materials,Rarely,Unsatisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Online,Online
Graduate,Prefer not to say,Economics,Domestic student,Not working,Offline (In-person),No,Convenience of location,Face-to-face interaction with instructors and peers,5,Poor internet connection,Rarely,Satisfied,No,More engaging learning environment,Neutral,Average,Neutral,Offline,Offline
Undergraduate,Prefer not to say,Medical,Domestic student,Full-time,Offline (In-person),No,"Quality of education, Availability of courses","Flexibility in schedule, Quality of education",3,Lack of interaction with peers,Very often,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
Undergraduate,Prefer not to say,Information & Technology,Domestic student,Full-time,Offline (In-person),No,Quality of education,Face-to-face interaction with instructors and peers,4,Technical difficulties,Rarely,Unsatisfied,No,More engaging learning environment,Satisfied,Average,Neutral,Online,Offline
Undergraduate,Female,Business,Foreign (International) student,Part-time,Offline (In-person),No,Quality of education,"Flexibility in schedule, Convenience of location",4,Difficulty staying motivated,Rarely,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Neutral,Average,Agree,Offline,Online
Undergraduate,Male,Arts,Domestic student,Full-time,Offline (In-person),Yes,Convenience of location,"Flexibility in schedule, Quality of education",4,"Lack of interaction with peers, Lack of access to course materials",Very often,Very satisfied,Yes,"More engaging learning environment, More structured schedule",Very satisfied,Excellent,Agree,Online,Online
Graduate,Female,Arts,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,4,Doubts remain unclear,Rarely,Unsatisfied,No,More structured schedule,Neutral,Good,Agree,Offline,Offline
High School,Female,Economics,Domestic student,Full-time,Offline (In-person),Yes,"Quality of education, Avoiding travel/commute time","Flexibility in schedule, Quality of education",4,"Poor internet connection, Lack of access to course materials",Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Offline
